Timestamp,Actual,Naive,Persistence_Enhanced_LSTM,Chronos_Bolt_Tiny
2024-01-06 00:00:00+00:00,43999.0,44184.0,44111.72952747345,44725.4140625
2024-01-07 00:00:00+00:00,43944.0,43999.0,43909.56073331833,44326.6015625
2024-01-08 00:00:00+00:00,46995.0,43944.0,43846.099675655365,44350.29296875
2024-01-09 00:00:00+00:00,46124.0,46995.0,47088.568621873856,47412.34765625
2024-01-10 00:00:00+00:00,46681.0,46124.0,46135.9865322113,46778.859375
2024-01-11 00:00:00+00:00,46360.0,46681.0,46717.68321990967,47153.4140625
2024-01-12 00:00:00+00:00,42778.0,46360.0,46356.91895246506,46984.68359375
2024-01-13 00:00:00+00:00,42843.0,42778.0,42536.87613737583,43979.07421875
2024-01-14 00:00:00+00:00,41715.0,42843.0,42613.73914682865,43876.4609375
2024-01-15 00:00:00+00:00,42493.0,41715.0,41422.33488857746,42288.82421875
2024-01-16 00:00:00+00:00,43131.0,42493.0,42257.0158059597,42734.49609375
2024-01-17 00:00:00+00:00,42738.0,43131.0,42939.61620336771,43477.24609375
2024-01-18 00:00:00+00:00,41283.0,42738.0,42527.88927733898,42941.328125
2024-01-19 00:00:00+00:00,41628.0,41283.0,40996.28652638197,41350.62109375
2024-01-20 00:00:00+00:00,41673.0,41628.0,41377.27746391296,41692.8046875
2024-01-21 00:00:00+00:00,41560.0,41673.0,41436.46772325039,41630.59765625
2024-01-22 00:00:00+00:00,39528.0,41560.0,41328.87269735336,41709.3125
2024-01-23 00:00:00+00:00,39868.0,39528.0,39191.73713350296,39633.703125
2024-01-24 00:00:00+00:00,40074.0,39868.0,39574.17303466797,40023.5546875
2024-01-25 00:00:00+00:00,39916.0,40074.0,39808.63886797428,40458.11328125
2024-01-26 00:00:00+00:00,41818.0,39916.0,39657.95186638832,40077.7109375
2024-01-27 00:00:00+00:00,42124.0,41818.0,41689.77590286732,42029.8203125
2024-01-28 00:00:00+00:00,42026.0,42124.0,42019.00394868851,42919.36328125
2024-01-29 00:00:00+00:00,43305.0,42026.0,41919.10899543762,42571.984375
