Timestamp,Persistence_Enhanced_LSTM
2025-01-18 00:00:00+00:00,104311.58384752274
2025-01-19 00:00:00+00:00,104603.82251358032
2025-01-20 00:00:00+00:00,101153.58931666613
2025-01-21 00:00:00+00:00,102093.18423521519
2025-01-22 00:00:00+00:00,106328.39500486851
2025-01-23 00:00:00+00:00,103590.60826778412
2025-01-24 00:00:00+00:00,103880.15759217739
2025-01-25 00:00:00+00:00,104825.91322124004
2025-01-26 00:00:00+00:00,104665.14569211006
2025-01-27 00:00:00+00:00,102331.73003607988
2025-01-28 00:00:00+00:00,101802.82270789146
2025-01-29 00:00:00+00:00,100942.73214769363
2025-01-30 00:00:00+00:00,103543.89298778772
2025-01-31 00:00:00+00:00,104577.42086482048
2025-02-01 00:00:00+00:00,102087.52960753441
2025-02-02 00:00:00+00:00,100203.77514517307
2025-02-03 00:00:00+00:00,97071.16004675627
2025-02-04 00:00:00+00:00,101101.82343310118
2025-02-05 00:00:00+00:00,97207.81282043457
2025-02-06 00:00:00+00:00,95995.23379349709
2025-02-07 00:00:00+00:00,95982.13189190626
2025-02-08 00:00:00+00:00,95970.0211828947
2025-02-09 00:00:00+00:00,95931.94316101074
2025-02-10 00:00:00+00:00,95963.94816452265
2025-02-11 00:00:00+00:00,97041.2736325264
2025-02-12 00:00:00+00:00,95241.99065709114
2025-02-13 00:00:00+00:00,97526.05412554741
2025-02-14 00:00:00+00:00,96204.28751510382
2025-02-15 00:00:00+00:00,97170.30546665192
2025-02-16 00:00:00+00:00,97255.60469549894
2025-02-17 00:00:00+00:00,95715.96242523193
2025-02-18 00:00:00+00:00,95350.62460899353
2025-02-19 00:00:00+00:00,95196.16125679016
2025-02-20 00:00:00+00:00,96302.12430632114
2025-02-21 00:00:00+00:00,98107.10644590855
2025-02-22 00:00:00+00:00,95762.91990202665
2025-02-23 00:00:00+00:00,96242.97905158997
2025-02-24 00:00:00+00:00,95917.50501692295
2025-02-25 00:00:00+00:00,90934.94205451012
2025-02-26 00:00:00+00:00,87821.36880493164
2025-02-27 00:00:00+00:00,83112.25116539001
2025-02-28 00:00:00+00:00,83774.47951734066
